sorter,composite_score,silhouette,balance_score,separation_ratio,num_clusters,duration,bins,clusters,config,db_index,images_processed,is_eligible,k_colors,metric
k-means,26.0,0.9307565093040466,0.0,25.908382415771484,5,1.8968567848205566,nan,5,nan,0.4082206646774793,596,True,2.0,nan
k-means,25.0,0.9193078279495239,0.0,58.91399383544922,10,1.7560160160064697,nan,10,nan,0.5145798762817159,596,True,2.0,nan
k-means,25.0,0.9192841053009033,0.0,105.54120635986328,20,1.8406751155853271,nan,20,nan,0.3955800312499448,596,True,2.0,nan
k-means,36.0,0.7717947959899902,0.04786646779913273,6.354022026062012,5,2.095336437225342,nan,5,nan,0.8179768335963884,596,True,3.0,nan
k-means,33.0,0.8653166890144348,0.0,14.632487297058105,10,2.051827907562256,nan,10,nan,0.6349355353718467,596,True,3.0,nan
k-means,25.0,0.9220322966575623,0.0,40.49931716918945,20,2.075474739074707,nan,20,nan,0.5403489562942716,596,True,3.0,nan
k-means,42.0,0.6824886798858643,0.0,4.995774269104004,5,2.551788091659546,nan,5,nan,1.130810872165267,596,True,5.0,nan
k-means,40.0,0.7072651982307434,0.0,6.2078399658203125,10,2.677001714706421,nan,10,nan,1.1904013654089396,596,True,5.0,nan
k-means,35.0,0.7977336645126343,0.0,10.466526985168457,20,2.4239282608032227,nan,20,nan,1.0602395866148253,596,True,5.0,nan
cv_feature,132.0,0.6680040129069005,0.0,21.586172494931382,5,3.323075771331787,nan,5,nan,1.3034444657072328,596,False,nan,nan
cv_feature,132.0,0.5382961025479179,0.0,22.804073114909755,10,3.35418963432312,nan,10,nan,1.3562355600618463,596,False,nan,nan
cv_feature,39.0,0.39637877017809864,0.0,20.77253495218268,20,3.452300786972046,nan,20,nan,1.3198951213678072,596,True,nan,nan
exposure,29.0,0.5289329886436462,0.5685798187137694,8.063093185424805,5,1.538926124572754,nan,5,nan,0.528783164908989,596,True,nan,nan
exposure,26.0,0.5505567789077759,0.49278881484833414,16.459199905395508,10,1.498427152633667,nan,10,nan,0.4821377408723122,596,True,nan,nan
exposure,24.0,0.5568898916244507,0.41447039622608717,32.762908935546875,20,1.496300220489502,nan,20,nan,0.4694160781761827,596,True,nan,nan
histogram,79.0,0.12034332007169724,0.0,1.4577664136886597,5,1.2905850410461426,8.0,5,nan,1.5640282238431715,596,True,nan,nan
histogram,66.0,0.15967479348182678,0.037515096109732804,1.8041859865188599,10,1.2464048862457275,8.0,10,nan,1.4128988465753607,596,True,nan,nan
histogram,66.0,0.1296541541814804,0.0,2.0625083446502686,20,1.2587087154388428,8.0,20,nan,1.3223791073984454,596,True,nan,nan
histogram,89.0,0.08686105161905289,0.0,1.1375293731689453,5,1.2432258129119873,16.0,5,nan,2.086637246289392,596,True,nan,nan
histogram,69.0,0.13858447968959808,0.2246869597727762,1.4185950756072998,10,1.1594963073730469,16.0,10,nan,1.7622825567290554,596,True,nan,nan
histogram,74.0,0.12054749578237534,0.0,1.8007858991622925,20,1.1846883296966553,16.0,20,nan,1.4167533115290474,596,True,nan,nan
histogram_3d,75.0,0.12358688563108444,0.09676983131406014,1.2298030853271484,5,2.6799519062042236,8.0,5,nan,1.897453916537397,596,True,nan,nan
histogram_3d,75.0,0.12306562811136246,0.0,1.506375789642334,10,2.66727352142334,8.0,10,nan,1.5814363045558089,596,True,nan,nan
histogram_3d,70.0,0.15692752599716187,0.0,1.7604668140411377,20,2.694103956222534,8.0,20,nan,1.4941679163329487,596,True,nan,nan
histogram_3d,132.0,0.061429157853126526,0.0,1.2001346349716187,5,3.0973644256591797,16.0,5,nan,1.781449852309812,596,False,nan,nan
histogram_3d,87.0,0.06802238523960114,0.0,1.3865489959716797,10,3.111560106277466,16.0,10,nan,1.7166630987767473,596,True,nan,nan
histogram_3d,80.0,0.09595965594053268,0.0,1.463769555091858,20,3.0922298431396484,16.0,20,nan,1.601096267857118,596,True,nan,nan
hash_ahash,69.0,0.097262442111969,0.7317849238813379,1.1122193336486816,5,1.185617446899414,nan,5,nan,2.698540629308806,596,True,nan,nan
hash_ahash,73.0,0.06868283450603485,0.6177441378282378,1.214463710784912,10,1.2367346286773682,nan,10,nan,2.572348711362114,596,True,nan,nan
